epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
136,33363.8,0.44807,0.47086,0.11951,0.84659,0.79991,0.86037,0.6257,0.41162,0.47967,0.13524,0.0010009,0.0010009,0.0010009
137,33609.4,0.43934,0.47221,0.11903,0.84602,0.80022,0.86064,0.62589,0.41164,0.47932,0.1352,0.00093424,0.00093424,0.00093424
138,33855.8,0.45445,0.46849,0.12171,0.84617,0.80044,0.86102,0.62608,0.41161,0.47935,0.13506,0.00086758,0.00086758,0.00086758
139,34100.5,0.45047,0.47115,0.12103,0.84675,0.79967,0.86109,0.6264,0.41158,0.47871,0.13514,0.00080092,0.00080092,0.00080092
140,34347,0.4507,0.47113,0.11984,0.84659,0.79956,0.86121,0.62662,0.41151,0.47856,0.13511,0.00073426,0.00073426,0.00073426
141,34589.6,0.39367,0.45962,0.11724,0.84532,0.80106,0.86109,0.62637,0.41134,0.47847,0.1351,0.0006676,0.0006676,0.0006676
142,34828.9,0.39214,0.45734,0.1164,0.84464,0.80012,0.86106,0.6264,0.41139,0.47863,0.13472,0.00060094,0.00060094,0.00060094
143,35068.5,0.3923,0.45313,0.1164,0.84343,0.80126,0.86126,0.62668,0.41093,0.47862,0.13475,0.00053428,0.00053428,0.00053428
144,35308.8,0.39228,0.45268,0.11702,0.84471,0.80185,0.86122,0.62698,0.41084,0.47798,0.1346,0.00046762,0.00046762,0.00046762
145,35549,0.39105,0.45143,0.1149,0.84349,0.8029,0.86163,0.62716,0.41059,0.47805,0.13438,0.00040096,0.00040096,0.00040096
146,35789.2,0.3923,0.4525,0.11663,0.84479,0.80193,0.8618,0.62721,0.41079,0.47771,0.13439,0.0003343,0.0003343,0.0003343
147,36030.2,0.38921,0.45105,0.11508,0.84464,0.80211,0.86175,0.62754,0.4105,0.47756,0.13409,0.00026764,0.00026764,0.00026764
148,36270.8,0.38578,0.44875,0.11398,0.84476,0.80182,0.86204,0.62781,0.41035,0.47741,0.13393,0.00020098,0.00020098,0.00020098
149,36512,0.38433,0.44793,0.11313,0.84649,0.8014,0.86255,0.62804,0.41044,0.4767,0.13401,0.00013432,0.00013432,0.00013432
150,36752.6,0.38393,0.44565,0.11407,0.84517,0.80166,0.8625,0.6285,0.41025,0.47633,0.13391,6.766e-05,6.766e-05,6.766e-05
